time;model_id;model_name;port_name;data
40;1;c1;outputNeighborhood;<100,0.055,0.008,0.937>
40;1;c1;;<100,0.054,0.007,0.939>
40;2;c2;outputNeighborhood;<200,0.224,0.023,0.753>
40;2;c2;;<200,0.222,0.02,0.758>
40;3;c3;outputNeighborhood;<200,0.188,0.012,0.8>
40;3;c3;;<200,0.187,0.011,0.802>
41;1;c1;outputNeighborhood;<100,0.054,0.007,0.939>
41;1;c1;;<100,0.054,0.006,0.94>
41;2;c2;outputNeighborhood;<200,0.222,0.02,0.758>
41;2;c2;;<200,0.22,0.018,0.762>
41;3;c3;outputNeighborhood;<200,0.187,0.011,0.802>
41;3;c3;;<200,0.186,0.01,0.804>
42;1;c1;outputNeighborhood;<100,0.054,0.006,0.94>
42;1;c1;;<100,0.054,0.005,0.941>
42;2;c2;outputNeighborhood;<200,0.22,0.018,0.762>
42;2;c2;;<200,0.218,0.016,0.766>
42;3;c3;outputNeighborhood;<200,0.186,0.01,0.804>
42;3;c3;;<200,0.185,0.009,0.806>
43;1;c1;outputNeighborhood;<100,0.054,0.005,0.941>
43;1;c1;;<100,0.054,0.004,0.942>
43;2;c2;outputNeighborhood;<200,0.218,0.016,0.766>
43;2;c2;;<200,0.217,0.014,0.769>
43;3;c3;outputNeighborhood;<200,0.185,0.009,0.806>
43;3;c3;;<200,0.184,0.008,0.808>
44;1;c1;outputNeighborhood;<100,0.054,0.004,0.942>
44;1;c1;;<100,0.054,0.003,0.943>
44;2;c2;outputNeighborhood;<200,0.217,0.014,0.769>
44;2;c2;;<200,0.216,0.012,0.772>
44;3;c3;outputNeighborhood;<200,0.184,0.008,0.808>
44;3;c3;;<200,0.183,0.007,0.81>
45;1;c1;outputNeighborhood;<100,0.054,0.003,0.943>
45;1;c1;;<100,0.053,0.003,0.944>
45;2;c2;outputNeighborhood;<200,0.216,0.012,0.772>
45;2;c2;;<200,0.215,0.011,0.774>
45;3;c3;outputNeighborhood;<200,0.183,0.007,0.81>
45;3;c3;;<200,0.183,0.006,0.811>
46;1;c1;outputNeighborhood;<100,0.053,0.003,0.944>
46;1;c1;;<100,0.052,0.003,0.945>
46;2;c2;outputNeighborhood;<200,0.215,0.011,0.774>
46;2;c2;;<200,0.214,0.01,0.776>
46;3;c3;outputNeighborhood;<200,0.183,0.006,0.811>
46;3;c3;;<200,0.183,0.005,0.812>
47;1;c1;outputNeighborhood;<100,0.052,0.003,0.945>
47;1;c1;;<100,0.051,0.003,0.946>
47;2;c2;outputNeighborhood;<200,0.214,0.01,0.776>
47;2;c2;;<200,0.213,0.009,0.778>
47;3;c3;outputNeighborhood;<200,0.183,0.005,0.812>
47;3;c3;;<200,0.183,0.004,0.813>
48;1;c1;outputNeighborhood;<100,0.051,0.003,0.946>
48;1;c1;;<100,0.05,0.003,0.947>
48;2;c2;outputNeighborhood;<200,0.213,0.009,0.778>
48;2;c2;;<200,0.212,0.008,0.78>
48;3;c3;outputNeighborhood;<200,0.183,0.004,0.813>
48;3;c3;;<200,0.182,0.004,0.814>
49;1;c1;outputNeighborhood;<100,0.05,0.003,0.947>
49;1;c1;;<100,0.049,0.003,0.948>
49;2;c2;outputNeighborhood;<200,0.212,0.008,0.78>
49;2;c2;;<200,0.211,0.007,0.782>
49;3;c3;outputNeighborhood;<200,0.182,0.004,0.814>
49;3;c3;;<200,0.181,0.004,0.815>
50;1;c1;outputNeighborhood;<100,0.049,0.003,0.948>
50;1;c1;;<100,0.048,0.003,0.949>
50;2;c2;outputNeighborhood;<200,0.211,0.007,0.782>
50;2;c2;;<200,0.211,0.006,0.783>
50;3;c3;outputNeighborhood;<200,0.181,0.004,0.815>
50;3;c3;;<200,0.181,0.003,0.816>
51;1;c1;outputNeighborhood;<100,0.048,0.003,0.949>
51;1;c1;;<100,0.047,0.003,0.95>
51;2;c2;outputNeighborhood;<200,0.211,0.006,0.783>
51;2;c2;;<200,0.211,0.005,0.784>
51;3;c3;outputNeighborhood;<200,0.181,0.003,0.816>
51;3;c3;;<200,0.18,0.003,0.817>
52;1;c1;outputNeighborhood;<100,0.047,0.003,0.95>
52;1;c1;;<100,0.046,0.003,0.951>
52;2;c2;outputNeighborhood;<200,0.211,0.005,0.784>
52;2;c2;;<200,0.211,0.004,0.785>
52;3;c3;outputNeighborhood;<200,0.18,0.003,0.817>
52;3;c3;;<200,0.179,0.003,0.818>
53;1;c1;outputNeighborhood;<100,0.046,0.003,0.951>
53;1;c1;;<100,0.046,0.002,0.952>
53;2;c2;outputNeighborhood;<200,0.211,0.004,0.785>
53;2;c2;;<200,0.21,0.004,0.786>
53;3;c3;outputNeighborhood;<200,0.179,0.003,0.818>
53;3;c3;;<200,0.178,0.003,0.819>
54;1;c1;outputNeighborhood;<100,0.046,0.002,0.952>
54;1;c1;;<100,0.046,0.002,0.952>
54;2;c2;outputNeighborhood;<200,0.21,0.004,0.786>
54;2;c2;;<200,0.209,0.004,0.787>
54;3;c3;outputNeighborhood;<200,0.178,0.003,0.819>
54;3;c3;;<200,0.177,0.003,0.82>
55;1;c1;;<100,0.046,0.002,0.952>
55;2;c2;outputNeighborhood;<200,0.209,0.004,0.787>
55;2;c2;;<200,0.208,0.004,0.788>
55;3;c3;outputNeighborhood;<200,0.177,0.003,0.82>
55;3;c3;;<200,0.176,0.003,0.821>
56;1;c1;;<100,0.046,0.002,0.952>
56;2;c2;outputNeighborhood;<200,0.208,0.004,0.788>
56;2;c2;;<200,0.208,0.003,0.789>
56;3;c3;outputNeighborhood;<200,0.176,0.003,0.821>
56;3;c3;;<200,0.175,0.003,0.822>
57;1;c1;;<100,0.046,0.002,0.952>
57;2;c2;outputNeighborhood;<200,0.208,0.003,0.789>
57;2;c2;;<200,0.207,0.003,0.79>
57;3;c3;outputNeighborhood;<200,0.175,0.003,0.822>
57;3;c3;;<200,0.174,0.003,0.823>
58;1;c1;;<100,0.046,0.002,0.952>
58;2;c2;outputNeighborhood;<200,0.207,0.003,0.79>
58;2;c2;;<200,0.206,0.003,0.791>
58;3;c3;outputNeighborhood;<200,0.174,0.003,0.823>
58;3;c3;;<200,0.173,0.003,0.824>
59;1;c1;;<100,0.046,0.002,0.952>
59;2;c2;outputNeighborhood;<200,0.206,0.003,0.791>
59;2;c2;;<200,0.205,0.003,0.792>
59;3;c3;outputNeighborhood;<200,0.173,0.003,0.824>
59;3;c3;;<200,0.172,0.003,0.825>
60;1;c1;;<100,0.046,0.002,0.952>
60;2;c2;outputNeighborhood;<200,0.205,0.003,0.792>
60;2;c2;;<200,0.204,0.003,0.793>
60;3;c3;outputNeighborhood;<200,0.172,0.003,0.825>
60;3;c3;;<200,0.171,0.003,0.826>
61;1;c1;;<100,0.046,0.002,0.952>
61;2;c2;outputNeighborhood;<200,0.204,0.003,0.793>
61;2;c2;;<200,0.203,0.003,0.794>
61;3;c3;outputNeighborhood;<200,0.171,0.003,0.826>
61;3;c3;;<200,0.17,0.003,0.827>
62;1;c1;;<100,0.046,0.002,0.952>
62;2;c2;outputNeighborhood;<200,0.203,0.003,0.794>
62;2;c2;;<200,0.202,0.003,0.795>
62;3;c3;outputNeighborhood;<200,0.17,0.003,0.827>
62;3;c3;;<200,0.169,0.003,0.828>
63;1;c1;;<100,0.046,0.002,0.952>
63;2;c2;outputNeighborhood;<200,0.202,0.003,0.795>
63;2;c2;;<200,0.201,0.003,0.796>
63;3;c3;outputNeighborhood;<200,0.169,0.003,0.828>
63;3;c3;;<200,0.168,0.003,0.829>
64;1;c1;;<100,0.046,0.002,0.952>
64;2;c2;outputNeighborhood;<200,0.201,0.003,0.796>
64;2;c2;;<200,0.2,0.003,0.797>
64;3;c3;outputNeighborhood;<200,0.168,0.003,0.829>
64;3;c3;;<200,0.167,0.003,0.83>
65;1;c1;;<100,0.046,0.002,0.952>
65;2;c2;outputNeighborhood;<200,0.2,0.003,0.797>
65;2;c2;;<200,0.199,0.003,0.798>
65;3;c3;outputNeighborhood;<200,0.167,0.003,0.83>
65;3;c3;;<200,0.166,0.003,0.831>
66;1;c1;;<100,0.046,0.002,0.952>
66;2;c2;outputNeighborhood;<200,0.199,0.003,0.798>
66;2;c2;;<200,0.198,0.003,0.799>
66;3;c3;outputNeighborhood;<200,0.166,0.003,0.831>
66;3;c3;;<200,0.165,0.003,0.832>
67;1;c1;;<100,0.046,0.002,0.952>
67;2;c2;outputNeighborhood;<200,0.198,0.003,0.799>
67;2;c2;;<200,0.197,0.003,0.8>
67;3;c3;outputNeighborhood;<200,0.165,0.003,0.832>
67;3;c3;;<200,0.164,0.003,0.833>
68;1;c1;;<100,0.046,0.002,0.952>
68;2;c2;outputNeighborhood;<200,0.197,0.003,0.8>
68;2;c2;;<200,0.196,0.003,0.801>
68;3;c3;outputNeighborhood;<200,0.164,0.003,0.833>
68;3;c3;;<200,0.163,0.003,0.834>
69;1;c1;;<100,0.046,0.002,0.952>
69;2;c2;outputNeighborhood;<200,0.196,0.003,0.801>
69;2;c2;;<200,0.195,0.003,0.802>
69;3;c3;outputNeighborhood;<200,0.163,0.003,0.834>
69;3;c3;;<200,0.162,0.003,0.835>
70;1;c1;;<100,0.046,0.002,0.952>
70;2;c2;outputNeighborhood;<200,0.195,0.003,0.802>
70;2;c2;;<200,0.194,0.003,0.803>
70;3;c3;outputNeighborhood;<200,0.162,0.003,0.835>
70;3;c3;;<200,0.161,0.003,0.836>
71;1;c1;;<100,0.046,0.002,0.952>
71;2;c2;outputNeighborhood;<200,0.194,0.003,0.803>
71;2;c2;;<200,0.193,0.003,0.804>
71;3;c3;outputNeighborhood;<200,0.161,0.003,0.836>
71;3;c3;;<200,0.16,0.003,0.837>
72;1;c1;;<100,0.046,0.002,0.952>
72;2;c2;outputNeighborhood;<200,0.193,0.003,0.804>
72;2;c2;;<200,0.192,0.003,0.805>
72;3;c3;outputNeighborhood;<200,0.16,0.003,0.837>
72;3;c3;;<200,0.159,0.003,0.838>
73;1;c1;;<100,0.046,0.002,0.952>
73;2;c2;outputNeighborhood;<200,0.192,0.003,0.805>
73;2;c2;;<200,0.191,0.003,0.806>
73;3;c3;outputNeighborhood;<200,0.159,0.003,0.838>
73;3;c3;;<200,0.158,0.003,0.839>
74;1;c1;;<100,0.046,0.002,0.952>
74;2;c2;outputNeighborhood;<200,0.191,0.003,0.806>
74;2;c2;;<200,0.19,0.003,0.807>
74;3;c3;outputNeighborhood;<200,0.158,0.003,0.839>
74;3;c3;;<200,0.157,0.003,0.84>
75;1;c1;;<100,0.046,0.002,0.952>
75;2;c2;outputNeighborhood;<200,0.19,0.003,0.807>
75;2;c2;;<200,0.189,0.003,0.808>
75;3;c3;outputNeighborhood;<200,0.157,0.003,0.84>
75;3;c3;;<200,0.156,0.003,0.841>
76;1;c1;;<100,0.046,0.002,0.952>
76;2;c2;outputNeighborhood;<200,0.189,0.003,0.808>
76;2;c2;;<200,0.188,0.003,0.809>
76;3;c3;outputNeighborhood;<200,0.156,0.003,0.841>
76;3;c3;;<200,0.155,0.003,0.842>
77;1;c1;;<100,0.046,0.002,0.952>
77;2;c2;outputNeighborhood;<200,0.188,0.003,0.809>
77;2;c2;;<200,0.187,0.003,0.81>
77;3;c3;outputNeighborhood;<200,0.155,0.003,0.842>
77;3;c3;;<200,0.154,0.003,0.843>
78;1;c1;;<100,0.046,0.002,0.952>
78;2;c2;outputNeighborhood;<200,0.187,0.003,0.81>
78;2;c2;;<200,0.186,0.003,0.811>
78;3;c3;outputNeighborhood;<200,0.154,0.003,0.843>
78;3;c3;;<200,0.153,0.003,0.844>
79;1;c1;;<100,0.046,0.002,0.952>
79;2;c2;outputNeighborhood;<200,0.186,0.003,0.811>
79;2;c2;;<200,0.185,0.003,0.812>
79;3;c3;outputNeighborhood;<200,0.153,0.003,0.844>
79;3;c3;;<200,0.152,0.003,0.845>
80;1;c1;;<100,0.046,0.002,0.952>
80;2;c2;outputNeighborhood;<200,0.185,0.003,0.812>
80;2;c2;;<200,0.184,0.003,0.813>
80;3;c3;outputNeighborhood;<200,0.152,0.003,0.845>
80;3;c3;;<200,0.151,0.003,0.846>
81;1;c1;;<100,0.046,0.002,0.952>
81;2;c2;outputNeighborhood;<200,0.184,0.003,0.813>
81;2;c2;;<200,0.183,0.003,0.814>
81;3;c3;outputNeighborhood;<200,0.151,0.003,0.846>
81;3;c3;;<200,0.15,0.003,0.847>
82;1;c1;;<100,0.046,0.002,0.952>
82;2;c2;outputNeighborhood;<200,0.183,0.003,0.814>
82;2;c2;;<200,0.182,0.003,0.815>
82;3;c3;outputNeighborhood;<200,0.15,0.003,0.847>
82;3;c3;;<200,0.149,0.003,0.848>
83;1;c1;;<100,0.046,0.002,0.952>
83;2;c2;outputNeighborhood;<200,0.182,0.003,0.815>
83;2;c2;;<200,0.181,0.003,0.816>
83;3;c3;outputNeighborhood;<200,0.149,0.003,0.848>
83;3;c3;;<200,0.148,0.003,0.849>
84;1;c1;;<100,0.046,0.002,0.952>
84;2;c2;outputNeighborhood;<200,0.181,0.003,0.816>
84;2;c2;;<200,0.18,0.003,0.817>
84;3;c3;outputNeighborhood;<200,0.148,0.003,0.849>
84;3;c3;;<200,0.147,0.003,0.85>
85;1;c1;;<100,0.046,0.002,0.952>
85;2;c2;outputNeighborhood;<200,0.18,0.003,0.817>
85;2;c2;;<200,0.179,0.003,0.818>
85;3;c3;outputNeighborhood;<200,0.147,0.003,0.85>
85;3;c3;;<200,0.146,0.003,0.851>
86;1;c1;;<100,0.046,0.002,0.952>
86;2;c2;outputNeighborhood;<200,0.179,0.003,0.818>
86;2;c2;;<200,0.178,0.003,0.819>
86;3;c3;outputNeighborhood;<200,0.146,0.003,0.851>
86;3;c3;;<200,0.145,0.003,0.852>
87;1;c1;;<100,0.046,0.002,0.952>
87;2;c2;outputNeighborhood;<200,0.178,0.003,0.819>
87;2;c2;;<200,0.177,0.003,0.82>
87;3;c3;outputNeighborhood;<200,0.145,0.003,0.852>
87;3;c3;;<200,0.144,0.003,0.853>
88;1;c1;;<100,0.046,0.002,0.952>
88;2;c2;outputNeighborhood;<200,0.177,0.003,0.82>
88;2;c2;;<200,0.176,0.003,0.821>
88;3;c3;outputNeighborhood;<200,0.144,0.003,0.853>
88;3;c3;;<200,0.143,0.003,0.854>
89;1;c1;;<100,0.046,0.002,0.952>
